PCA_1,PCA_2,prediction,iteration_guid,sut_name,ctdp_in_watts,cpufreq_scaling_governor,power_determinism_mode_enabled,numa_zones,packages,total_memory_size_in_gib,memory_speed_in_mts,M,N,K,gflops
0.28490088716034273,0.0032095124070296768,3,af6ad7ae-af0b-4f42-af63-aecd1bd1c920,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2275.1800000000003
0.285047311782474,0.003086452500158104,3,3908dd03-cd26-4656-8450-feac9b19e06c,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2265.67
0.28498833540971524,0.0031360181185197825,3,e6b224a6-5a50-495a-a703-f0fe4652f995,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2269.5
0.2850263688224906,0.0031040536294467437,3,8830f7b2-8e96-4aa6-b3d9-f926101d3a0f,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2267.0299999999997
0.28502313507712806,0.003106771371841266,3,8e758cd3-2e10-4bb5-bdc5-dedfccd21c72,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2267.24
0.2854443496057467,0.002752769292748998,3,3a120fa0-475f-4d98-8543-075a7855fcca,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2239.9
0.2855624401862215,0.002653522215146155,3,53bffb13-9c7c-41f2-a784-9f7b29f20bed,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2232.24
0.28492767392972773,0.0031869999545614263,3,2b64b759-b0cc-4f6d-a42f-e80482a2f3c7,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2273.44
0.2852056500613322,0.00295337997747112,3,63c2fbdb-006d-4a97-a09f-52847cf91853,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2255.3900000000003
0.28536928856265475,0.002815852979345736,3,4c59c6ae-ac18-4a75-a266-bbbce6883eee,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2244.77
0.2851796155985089,0.0029752601675911666,3,3700bb48-0e57-44dc-a006-84ace3782aa1,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2257.08
0.2849886433585961,0.003135759308491478,3,f9dbde17-cd41-469d-ac52-c88110258e46,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2269.48
